Freq.,Rectangular,von Hann,Hamming,SFT3F (full),SFT3F (4 bit),SFT3F (8 bit)
0.000000000000000,1.000000000000000,1.000000000000005,1.000000000000005,1.000000000000007,1.000000000000007,1.000000000000007
0.000999999999976,0.999998374330601,0.999999355066098,0.999999209771900,1.000000018770838,1.000000011315840,1.000000017175213
0.001999999999953,0.999993497330270,0.999997420266404,0.999996839090477,1.000000075082211,1.000000045262258,1.000000068699721
0.002999999999929,0.999985369022514,0.999994195606914,0.999992887964323,1.000000168930681,1.000000101835920,1.000000154570107
0.003999999999905,0.999973989446544,0.999989681097640,0.999987356407775,1.000000300310534,1.000000181031288,1.000000274780695
0.004999999999882,0.999959358657247,0.999983876752594,0.999980244440901,1.000000469213764,1.000000282840604,1.000000429323533
0.005999999999858,0.999941476725189,0.999976782589787,0.999971552089497,1.000000675630073,1.000000407253889,1.000000618188390
0.006999999999834,0.999920343736630,0.999968398631240,0.999961279385102,1.000000919546883,1.000000554258953,1.000000841362771
0.007999999999811,0.999895959793509,0.999958724902975,0.999949426364985,1.000001200949328,1.000000723841388,1.000001098831909
0.008999999999787,0.999868325013456,0.999947761435017,0.999935993072148,1.000001519820252,1.000000915984569,1.000001390578762
0.009999999999764,0.999837439529786,0.999935508261392,0.999920979555329,1.000001876140214,1.000001130669656,1.000001716584016
0.010999999999740,0.999803303491504,0.999921965420130,0.999904385868995,1.000002269887482,1.000001367875588,1.000002076826084
0.011999999999716,0.999765917063309,0.999907132953263,0.999886212073354,1.000002701038045,1.000001627579095,1.000002471281112
0.012999999999693,0.999725280425593,0.999891010906827,0.999866458234346,1.000003169565598,1.000001909754687,1.000002899922971
0.013999999999669,0.999681393774442,0.999873599330856,0.999845124423642,1.000003675441552,1.000002214374654,1.000003362723260
0.014999999999645,0.999634257321650,0.999854898279395,0.999822210718656,1.000004218635037,1.000002541409084,1.000003859651313
0.015999999999622,0.999583871294700,0.999834907810476,0.999797717202526,1.000004799112886,1.000002890825831,1.000004390674183
0.016999999999598,0.999530235936785,0.999813627986144,0.999771643964132,1.000005416839655,1.000003262590549,1.000004955756659
0.017999999999574,0.999473351506815,0.999791058872446,0.999743991098093,1.000006071777614,1.000003656666672,1.000005554861263
0.018999999999551,0.999413218279399,0.999767200539423,0.999714758704758,1.000006763886746,1.000004073015419,1.000006187948240
0.019999999999527,0.999349836544866,0.999742053061121,0.999683946890213,1.000007493124747,1.000004511595793,1.000006854975567
0.020999999999503,0.999283206609261,0.999715616515582,0.999651555766279,1.000008259447031,1.000004972364586,1.000007555898952
0.021999999999480,0.999213328794354,0.999687890984854,0.999617585450517,1.000009062806727,1.000005455276375,1.000008290671835
0.022999999999456,0.999140203437644,0.999658876554980,0.999582036066225,1.000009903154679,1.000005960283523,1.000009059245385
0.023999999999432,0.999063830892359,0.999628573316007,0.999544907742436,1.000010780439452,1.000006487336182,1.000009861568505
0.024999999999409,0.998984211527460,0.999596981361975,0.999506200613921,1.000011694607316,1.000007036382286,1.000010697587824
0.025999999999385,0.998901345727645,0.999564100790921,0.999465914821185,1.000012645602271,1.000007607367560,1.000011567247709
0.026999999999362,0.998815233893367,0.999529931704888,0.999424050510478,1.000013633366026,1.000008200235518,1.000012470490256
0.027999999999338,0.998725876440830,0.999494474209914,0.999380607833790,1.000014657838013,1.000008814927462,1.000013407255297
0.028999999999314,0.998633273801985,0.999457728416032,0.999335586948843,1.000015718955378,1.000009451382479,1.000014377480394
0.029999999999291,0.998537426424547,0.999419694437269,0.999288988019100,1.000016816652986,1.000010109537448,1.000015381100843
0.030999999999267,0.998438334772003,0.999380372391656,0.999240811213769,1.000017950863425,1.000010789327039,1.000016418049676
0.031999999999243,0.998335999323605,0.999339762401212,0.999191056707792,1.000019121516997,1.000011490683708,1.000017488257659
0.032999999999220,0.998230420574395,0.999297864591958,0.999139724681860,1.000020328541728,1.000012213537704,1.000018591653292
0.033999999999196,0.998121599035189,0.999254679093900,0.999086815322393,1.000021571863360,1.000012957817065,1.000019728162807
0.034999999999172,0.998009535232604,0.999210206041051,0.999032328821567,1.000022851405363,1.000013723447624,1.000020897710183
0.035999999999149,0.997894229709050,0.999164445571404,0.998976265377287,1.000024167088918,1.000014510352999,1.000022100217121
0.036999999999125,0.997775683022738,0.999117397826953,0.998918625193209,1.000025518832939,1.000015318454609,1.000023335603070
0.037999999999101,0.997653895747708,0.999069062953683,0.998859408478731,1.000026906554053,1.000016147671656,1.000024603785210
0.038999999999078,0.997528868473808,0.999019441101572,0.998798615448997,1.000028330166619,1.000016997921149,1.000025904678466
0.039999999999054,0.997400601806711,0.998968532424584,0.998736246324888,1.000029789582711,1.000017869117875,1.000027238195494
0.040999999999030,0.997269096367924,0.998916337080675,0.998672301333032,1.000031284712130,1.000018761174425,1.000028604246691
0.041999999999007,0.997134352794814,0.998862855231796,0.998606780705811,1.000032815462406,1.000019674001186,1.000030002740198
0.042999999998983,0.996996371740579,0.998808087043880,0.998539684681345,1.000034381738790,1.000020607506336,1.000031433581894
0.043999999998960,0.996855153874284,0.998752032686854,0.998471013503504,1.000035983444260,1.000021561595854,1.000032896675399
0.044999999998936,0.996710699880857,0.998694692334625,0.998400767421899,1.000037620479520,1.000022536173510,1.000034391922072
0.045999999998912,0.996563010461101,0.998636066165092,0.998328946691895,1.000039292743002,1.000023531140877,1.000035919221018
0.046999999998889,0.996412086331719,0.998576154360142,0.998255551574608,1.000041000130866,1.000024546397324,1.000037478469084
0.047999999998865,0.996257928225286,0.998514957105643,0.998180582336898,1.000042742537001,1.000025581840019,1.000039069560861
